Years_of_Experience,Australia,Canada,China,UK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28096.66667,28067.08333,28530.5,32520.31818,31235.22222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,0,0,0,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48096.92188,43580.42424,51155.36697,47470.79208,44027.02913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,37500,45000,42500,35000,28450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,57806.72,57366.01852,59985.82456,59825.45,58516.51049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,74734.73438,75977.7,68657.13542,72588.64444,71494.10619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,86294.80263,81958.29508,81558.32203,80848.2233,87289.17476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,101947.6667,108229.5263,103807.425,98700.25882,103273.6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,112043.0667,118321.2558,107755.2111,110099.2273,111029.1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,119769.338,126469.5921,118593.2923,124240.4776,121029.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,129777.869,120862.1795,125021.0952,130294.2778,125610.7978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,140372.4308,139319.3077,136641.8352,136769.7722,137862.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,133145.4474,133750.6875,133926.7632,121947.4595,134972.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,152093.4444,152831.1728,151990.9118,158144.1224,151507.1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,152645.9245,153403.3019,151618.3143,156868.7164,152057.5686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,159488.15,154163.8718,154736.7273,147779.5,149326.9091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,171700,168393.9143,167914.0351,168333.9762,166560.5763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,163705.5556,159695.6522,161415.0909,163284,154927.8519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,181835.0952,182435.6,187256.5581,183562.434,181816.3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,191153.8462,184705.3846,181442.1667,184109.7273,181778.0952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,186417.3913,183288.7813,188334.5652,178043.9333,188946.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,181876.2857,181792.3548,185838.7143,181258.7143,182162.6154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,187471,187597.3846,168926.8462,188878.6364,181326.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,175091.6667,180813,174648.5,174477.1333,178854.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,185389.9333,197288,182819.1,198969.6,184800.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,198987.7778,189189.3333,178085,201889.6667,180835.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,184480,222499,216241.75,207363,192279.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,172067.5,186916.8333,175857,172926.25,177753.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,185722,187707.6667,194638,184816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,180958,0,188196.4,190596,188653.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,190105,188924.5,187977,192849.3333,188514.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,179880.6,174398.5,184625.25,190543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,153055,121450,183020,186321,183138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,191818,179927.5,166109,197354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,191267,195270,193390,193390,191388.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,179180,188232,187586.6667,188232,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,188651,188651,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
